2020-01-21 00:53:43 status unpacked hostname:armhf 3.18+b1
2020-01-21 00:53:44 install init-system-helpers:all <none> 1.48
2020-01-21 00:53:44 status half-installed init-system-helpers:all 1.48
2020-01-21 00:53:44 status unpacked init-system-helpers:all 1.48
2020-01-21 00:53:44 status unpacked init-system-helpers:all 1.48
2020-01-21 00:53:45 install libcap-ng0:armhf <none> 0.7.7-3+b1
2020-01-21 00:53:45 status half-installed libcap-ng0:armhf 0.7.7-3+b1
2020-01-21 00:53:45 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2020-01-21 00:53:45 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2020-01-21 00:53:46 install libgcrypt20:armhf <none> 1.7.6-2+deb9u3
2020-01-21 00:53:46 status half-installed libgcrypt20:armhf 1.7.6-2+deb9u3
2020-01-21 00:53:46 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u3
2020-01-21 00:53:46 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u3
2020-01-21 00:53:47 install libgpg-error0:armhf <none> 1.26-2
2020-01-21 00:53:47 status half-installed libgpg-error0:armhf 1.26-2
2020-01-21 00:53:47 status unpacked libgpg-error0:armhf 1.26-2
2020-01-21 00:53:47 status unpacked libgpg-error0:armhf 1.26-2
2020-01-21 00:53:48 install libselinux1:armhf <none> 2.6-3+b3
2020-01-21 00:53:48 status half-installed libselinux1:armhf 2.6-3+b3
2020-01-21 00:53:48 status unpacked libselinux1:armhf 2.6-3+b3
2020-01-21 00:53:48 status unpacked libselinux1:armhf 2.6-3+b3
2020-01-21 00:53:49 install libsemanage-common:all <none> 2.6-2
2020-01-21 00:53:49 status half-installed libsemanage-common:all 2.6-2
2020-01-21 00:53:49 status unpacked libsemanage-common:all 2.6-2
2020-01-21 00:53:49 status unpacked libsemanage-common:all 2.6-2
2020-01-21 00:53:50 install libsemanage1:armhf <none> 2.6-2
2020-01-21 00:53:50 status half-installed libsemanage1:armhf 2.6-2
2020-01-21 00:53:50 status unpacked libsemanage1:armhf 2.6-2
2020-01-21 00:53:50 status unpacked libsemanage1:armhf 2.6-2
2020-01-21 00:53:51 install libsepol1:armhf <none> 2.6-2
2020-01-21 00:53:51 status half-installed libsepol1:armhf 2.6-2
2020-01-21 00:53:51 status unpacked libsepol1:armhf 2.6-2
2020-01-21 00:53:51 status unpacked libsepol1:armhf 2.6-2
